## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=insert_size_metric.pdf INPUT=HG00313.chrom11.ILLUMINA.bwa.FIN.low_coverage.20120522.bam OUTPUT=insert_size_metric.tsv    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Jul 26 10:24:37 JST 2014

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
473	8	12	130846602	472.187538	17.990341	2476685	FR	3	7	9	13	17	19	25	29	39	73			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
12	1
23	1
32	1
34	1
37	1
40	1
45	1
46	1
48	2
49	1
50	1
52	1
53	1
55	2
56	1
58	1
59	1
61	5
62	1
63	1
64	3
65	3
66	4
68	4
69	6
70	5
71	5
72	14
73	8
74	10
75	10
76	7
77	16
78	11
79	7
80	14
81	9
82	21
83	17
84	11
85	10
86	14
87	7
88	17
89	14
90	12
91	18
92	17
93	18
94	22
95	27
96	26
97	21
98	17
99	23
100	26
101	23
102	27
103	24
104	22
105	17
106	21
107	28
108	25
109	28
110	37
111	25
112	37
113	22
114	26
115	22
116	23
117	26
118	26
119	23
120	25
121	22
122	31
123	21
124	21
125	19
126	25
127	25
128	17
129	20
130	27
131	31
132	23
133	33
134	22
135	25
136	28
137	21
138	28
139	21
140	22
141	34
142	25
143	31
144	22
145	33
146	22
147	25
148	27
149	19
150	21
151	34
152	34
153	30
154	27
155	27
156	27
157	23
158	24
159	18
160	18
161	31
162	25
163	27
164	20
165	22
166	22
167	23
168	16
169	18
170	14
171	34
172	22
173	19
174	18
175	24
176	28
177	16
178	16
179	21
180	23
181	16
182	22
183	18
184	21
185	21
186	17
187	23
188	26
189	17
190	19
191	13
192	20
193	13
194	22
195	21
196	27
197	16
198	18
199	17
200	18
201	18
202	11
203	21
204	24
205	20
206	17
207	15
208	25
209	19
210	16
211	23
212	17
213	16
214	15
215	25
216	9
217	20
218	14
219	21
220	15
221	21
222	19
223	19
224	23
225	16
226	23
227	9
228	21
229	19
230	11
231	15
232	13
233	20
234	27
235	21
236	16
237	17
238	16
239	14
240	17
241	20
242	17
243	13
244	12
245	10
246	8
247	11
248	13
249	20
250	16
251	19
252	20
253	23
254	26
255	18
256	18
257	17
258	26
259	18
260	17
261	19
262	14
263	17
264	32
265	20
266	15
267	16
268	15
269	13
270	24
271	24
272	21
273	14
274	25
275	34
276	17
277	30
278	25
279	25
280	20
281	27
282	23
283	22
284	28
285	18
286	29
287	19
288	24
289	21
290	23
291	20
292	33
293	31
294	27
295	24
296	34
297	25
298	30
299	31
300	23
301	28
302	23
303	20
304	24
305	13
306	23
307	28
308	25
309	23
310	23
311	15
312	22
313	29
314	14
315	26
316	22
317	26
318	27
319	25
320	25
321	32
322	25
323	25
324	31
325	23
326	22
327	33
328	23
329	23
330	27
331	26
332	29
333	23
334	26
335	30
336	31
337	37
338	26
339	28
340	27
341	26
342	30
343	33
344	36
345	40
346	33
347	33
348	37
349	32
350	38
351	30
352	31
353	34
354	31
355	38
356	34
357	34
358	27
359	34
360	39
361	28
362	21
363	35
364	24
365	40
366	45
367	47
368	39
369	34
370	37
371	45
372	34
373	38
374	45
375	33
376	41
377	44
378	42
379	36
380	51
381	44
382	49
383	40
384	59
385	48
386	44
387	57
388	64
389	68
390	71
391	68
392	78
393	77
394	81
395	63
396	67
397	87
398	71
399	86
400	87
401	94
402	92
403	103
404	87
405	122
406	113
407	123
408	136
409	121
410	158
411	145
412	143
413	153
414	175
415	176
416	182
417	214
418	197
419	253
420	240
421	273
422	278
423	290
424	298
425	320
426	419
427	379
428	434
429	518
430	594
431	573
432	657
433	749
434	865
435	1071
436	1139
437	1368
438	1502
439	1721
440	2148
441	2480
442	2881
443	3381
444	4060
445	4773
446	5450
447	6540
448	7765
449	9100
450	10668
451	12362
452	14499
453	16703
454	19464
455	22181
456	25685
457	28782
458	32818
459	36571
460	41076
461	45613
462	50216
463	55070
464	59973
465	64092
466	68635
467	73102
468	76648
469	80773
470	83485
471	85237
472	88269
473	88867
474	89400
475	88587
476	87507
477	85471
478	83254
479	80272
480	75414
481	72023
482	67642
483	62675
484	57317
485	52470
486	47545
487	42370
488	37042
489	32979
490	28287
491	24305
492	20418
493	17222
494	14382
495	11493
496	9423
497	7704
498	5901
499	4628
500	3589
501	2751
502	2047
503	1547
504	1157
505	901
506	657
507	490
508	353
509	296
510	200
511	174
512	178
513	124
514	122
515	90
516	68
517	69
518	64
519	55
520	67
521	34
522	48
523	54
524	43
525	32
526	22
527	31
528	26
529	21
530	23
531	22
532	22
533	23
534	18
535	17
536	22
537	19
538	14
539	19
540	14
541	12
542	17
543	16
544	20
545	34
546	12
547	7
548	16
549	12
550	7
551	7
552	9
553	2

