## htsjdk.samtools.metrics.StringHeader
# picard.analysis.QualityScoreDistribution CHART_OUTPUT=quality_score_dist.pdf INPUT=HG00313.chrom11.ILLUMINA.bwa.FIN.low_coverage.20120522.bam OUTPUT=quality_score_dist.tsv    ALIGNED_READS_ONLY=false PF_READS_ONLY=false INCLUDE_NO_CALLS=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Jul 26 10:52:27 JST 2014


## HISTOGRAM	java.lang.Byte
QUALITY	COUNT_OF_Q
1	70279
2	54965799
3	65507
4	136420
5	126671
6	126919
7	162460
8	181002
9	251730
10	298989
11	364737
12	381058
13	419647
14	452176
15	583467
16	714821
17	823901
18	1085175
19	1186834
20	1384073
21	1600865
22	1673330
23	1942108
24	2138895
25	2933455
26	3197806
27	3788822
28	4008442
29	4685757
30	5170933
31	8219454
32	7726725
33	10796340
34	11793373
35	13796291
36	15495899
37	18800575
38	21504190
39	33782022
40	41681906
41	61127022
42	60939445
43	38940115
44	22460010
45	6714309
46	358159
47	31530
48	11257
49	3529
50	1790

